second,philosopher,eatCount,eatNanosDelta,blockedMillisDelta
0,Raphael,0,0,0
0,Donatello,0,0,0
0,Splinter,0,0,0
0,Michelangelo,0,0,0
0,Leonardo,0,0,0
1,Raphael,6,265758700,0
1,Donatello,6,332699700,0
1,Splinter,7,291525500,0
1,Michelangelo,5,166147400,0
1,Leonardo,7,414422700,0
2,Raphael,13,355849300,0
2,Donatello,12,325708900,0
2,Splinter,13,210785200,0
2,Michelangelo,12,224671900,0
2,Leonardo,17,418599600,0
3,Raphael,19,407709900,0
3,Donatello,19,288588200,0
3,Splinter,18,318829600,0
3,Michelangelo,17,348668000,0
3,Leonardo,23,363690100,0
4,Raphael,26,372698700,0
4,Donatello,27,208651700,0
4,Splinter,24,371621700,0
4,Michelangelo,22,379832200,0
4,Leonardo,29,347771700,0
5,Raphael,33,497538000,0
5,Donatello,32,272897500,0
5,Splinter,32,326777400,0
5,Michelangelo,30,374716500,0
5,Leonardo,35,169679800,0
6,Raphael,38,207789000,0
6,Donatello,39,418414500,0
6,Splinter,37,345034900,0
6,Michelangelo,37,190480100,0
6,Leonardo,42,472646600,0
7,Raphael,45,344983400,0
7,Donatello,46,234785900,0
7,Splinter,44,413509000,0
7,Michelangelo,43,425742900,0
7,Leonardo,48,282612600,0
8,Raphael,50,285463300,0
8,Donatello,51,358760200,0
8,Splinter,48,283775200,0
8,Michelangelo,50,476563100,0
8,Leonardo,52,193506000,0
9,Raphael,55,315690200,0
9,Donatello,57,351698300,0
9,Splinter,56,397391500,0
9,Michelangelo,57,247935100,0
9,Leonardo,58,331896500,0
10,Raphael,63,364444600,0
10,Donatello,62,309858700,0
10,Splinter,61,271599900,0
10,Michelangelo,64,305352200,0
10,Leonardo,64,250637600,0
11,Raphael,69,341162300,0
11,Donatello,71,395519800,0
11,Splinter,67,245458800,0
11,Michelangelo,71,310926800,0
11,Leonardo,70,296723900,0
12,Raphael,76,270623800,0
12,Donatello,78,465787000,0
12,Splinter,74,295758800,0
12,Michelangelo,77,277635100,0
12,Leonardo,79,254634100,0
13,Raphael,84,429805500,0
13,Donatello,84,238085700,0
13,Splinter,81,435374400,0
13,Michelangelo,81,213538800,0
13,Leonardo,84,344850900,0
14,Raphael,88,214643200,0
14,Donatello,88,238942700,0
14,Splinter,88,468793100,0
14,Michelangelo,86,234871700,0
14,Leonardo,92,482753800,0
15,Raphael,95,473616700,0
15,Donatello,92,277824600,0
15,Splinter,93,391926900,0
15,Michelangelo,92,270783200,0
15,Leonardo,96,186806300,0
16,Raphael,103,407718600,0
16,Donatello,98,211780200,0
16,Splinter,102,266032700,0
16,Michelangelo,100,428799100,0
16,Leonardo,102,214878200,0
17,Raphael,109,287935800,0
17,Donatello,105,413769700,0
17,Splinter,108,374807000,0
17,Michelangelo,107,398735000,0
17,Leonardo,109,280668300,0
18,Raphael,115,394748800,0
18,Donatello,112,332735700,0
18,Splinter,114,271970800,0
18,Michelangelo,116,383760100,0
18,Leonardo,113,116878000,0
19,Raphael,123,439751500,0
19,Donatello,118,259709600,0
19,Splinter,121,455751600,0
19,Michelangelo,121,270185100,0
19,Leonardo,121,265337600,0
20,Raphael,130,239879100,0
20,Donatello,123,145308800,0
20,Splinter,128,434086900,0
20,Michelangelo,129,417473400,0
20,Leonardo,129,316466600,0
21,Raphael,136,511578900,0
21,Donatello,128,242409900,0
21,Splinter,137,270709000,0
21,Michelangelo,137,336501100,0
21,Leonardo,131,119030700,0
22,Raphael,143,330217700,0
22,Donatello,134,272936200,0
22,Splinter,145,468616100,0
22,Michelangelo,142,243871400,0
22,Leonardo,139,240501400,0
23,Raphael,144,1974100,0
23,Donatello,141,450834100,0
23,Splinter,151,426389100,0
23,Michelangelo,148,118843000,0
23,Leonardo,148,563729500,0
24,Raphael,153,313724200,0
24,Donatello,147,289862400,0
24,Splinter,159,448671200,0
24,Michelangelo,155,341218700,0
24,Leonardo,156,218820900,0
25,Raphael,159,193598500,0
25,Donatello,154,429781700,0
25,Splinter,165,331890100,0
25,Michelangelo,163,275241300,0
25,Leonardo,164,313974500,0
26,Raphael,166,407720500,0
26,Donatello,161,256541700,0
26,Splinter,171,282926200,0
26,Michelangelo,170,489725900,0
26,Leonardo,169,215926600,0
27,Raphael,170,238880300,0
27,Donatello,168,353841000,0
27,Splinter,180,404556500,0
27,Michelangelo,176,355707600,0
27,Leonardo,174,299770600,0
28,Raphael,177,320093200,0
28,Donatello,174,347584000,0
28,Splinter,186,297575600,0
28,Michelangelo,183,389794200,0
28,Leonardo,179,263751500,0
29,Raphael,184,321800000,0
29,Donatello,179,407831900,0
29,Splinter,192,370680200,0
29,Michelangelo,187,252873000,0
29,Leonardo,186,323685200,0
30,Raphael,190,280247300,0
30,Donatello,186,459869300,0
30,Splinter,198,277909900,0
30,Michelangelo,194,411635400,0
30,Leonardo,190,171116800,0
31,Raphael,195,201726500,0
31,Donatello,192,280981900,0
31,Splinter,204,318968600,0
31,Michelangelo,198,289458300,0
31,Leonardo,197,449246700,0
32,Raphael,202,265723400,0
32,Donatello,196,220858800,0
32,Splinter,210,353782500,0
32,Michelangelo,204,407780700,0
32,Leonardo,202,274875200,0
33,Raphael,209,388521500,0
33,Donatello,201,337985500,0
33,Splinter,217,338478900,0
33,Michelangelo,208,305759000,0
33,Leonardo,207,274250300,0
34,Raphael,216,204369500,0
34,Donatello,209,383098300,0
34,Splinter,223,348248900,0
34,Michelangelo,214,257843600,0
34,Leonardo,214,330794700,0
35,Raphael,223,376953700,0
35,Donatello,216,352785700,0
35,Splinter,229,318499800,0
35,Michelangelo,220,376096700,0
35,Leonardo,220,305774500,0
36,Raphael,229,213678600,0
36,Donatello,222,407751200,0
36,Splinter,235,323758200,0
36,Michelangelo,226,400756100,0
36,Leonardo,226,385843000,0
37,Raphael,237,420372900,0
37,Donatello,227,390888900,0
37,Splinter,240,210350500,0
37,Michelangelo,232,344704400,0
37,Leonardo,233,317769300,0
38,Raphael,243,363789600,0
38,Donatello,232,325151200,0
38,Splinter,245,237612100,0
38,Michelangelo,238,442028100,0
38,Leonardo,237,226807100,0
39,Raphael,250,387670300,0
39,Donatello,238,265663700,0
39,Splinter,255,404377000,0
39,Michelangelo,245,217734400,0
39,Leonardo,245,318811900,0
40,Raphael,256,298909500,0
40,Donatello,243,271826800,0
40,Splinter,261,385890000,0
40,Michelangelo,251,139710100,0
40,Leonardo,251,193740100,0
41,Raphael,262,251638600,0
41,Donatello,251,526862800,0
41,Splinter,267,232597200,0
41,Michelangelo,257,329676300,0
41,Leonardo,257,391743900,0
42,Raphael,270,358716100,0
42,Donatello,257,285730000,0
42,Splinter,275,428898300,0
42,Michelangelo,261,232864500,0
42,Leonardo,262,291957700,0
43,Raphael,273,205935400,0
43,Donatello,264,505604500,0
43,Splinter,280,242994900,0
43,Michelangelo,268,357752400,0
43,Leonardo,268,397770600,0
44,Raphael,279,259854500,0
44,Donatello,270,411826700,0
44,Splinter,287,342722200,0
44,Michelangelo,274,282863700,0
44,Leonardo,273,297870800,0
45,Raphael,286,403552100,0
45,Donatello,277,373961400,0
45,Splinter,293,264692500,0
45,Michelangelo,282,396855800,0
45,Leonardo,280,183787900,0
46,Raphael,292,219783400,0
46,Donatello,283,246956500,0
46,Splinter,300,391754700,0
46,Michelangelo,289,254677300,0
46,Leonardo,285,323915600,0
47,Raphael,296,283826400,0
47,Donatello,290,336809600,0
47,Splinter,306,329892100,0
47,Michelangelo,294,286807500,0
47,Leonardo,290,310897000,0
48,Raphael,301,246881100,0
48,Donatello,297,358841400,0
48,Splinter,311,181864300,0
48,Michelangelo,303,331683400,0
48,Leonardo,295,383895000,0
49,Raphael,308,383675700,0
49,Donatello,303,248682700,0
49,Splinter,319,350870600,0
49,Michelangelo,306,136943000,0
49,Leonardo,301,410775100,0
50,Raphael,316,464943900,0
50,Donatello,306,181896900,0
50,Splinter,324,289687200,0
50,Michelangelo,313,314676800,0
