second,philosopher,eatCount,eatNanosDelta,blockedMillisDelta
0,Raphael,0,0,0
0,Donatello,0,0,0
0,Splinter,0,0,0
0,Michelangelo,1,6929000,0
0,Leonardo,0,0,0
1,Raphael,4,216677500,0
1,Donatello,7,299785300,0
1,Splinter,6,323586700,0
1,Michelangelo,6,302638300,0
1,Leonardo,6,305098600,0
2,Raphael,10,361734000,0
2,Donatello,14,187636900,0
2,Splinter,12,265504200,0
2,Michelangelo,12,346638200,0
2,Leonardo,13,302431600,0
3,Raphael,19,495415500,0
3,Donatello,19,251678200,0
3,Splinter,16,253705800,0
3,Michelangelo,19,389575000,0
3,Leonardo,20,240552000,0
4,Raphael,23,318743900,0
4,Donatello,24,269613000,0
4,Splinter,21,328722200,0
4,Michelangelo,23,206697800,0
4,Leonardo,25,304707100,0
5,Raphael,29,179754200,0
5,Donatello,31,294501500,0
5,Splinter,29,298588900,0
5,Michelangelo,31,256730600,0
5,Leonardo,31,264457700,0
6,Raphael,36,287532200,0
6,Donatello,40,324656900,0
6,Splinter,37,269434400,0
6,Michelangelo,38,347754600,0
6,Leonardo,37,298631100,0
7,Raphael,43,240661100,0
7,Donatello,45,353807900,0
7,Splinter,42,281661000,0
7,Michelangelo,45,417740000,0
7,Leonardo,45,400660800,0
8,Raphael,48,331736200,0
8,Donatello,51,217480900,0
8,Splinter,48,327126700,0
8,Michelangelo,51,280745900,0
8,Leonardo,50,275713300,0
9,Raphael,55,436543800,0
9,Donatello,57,382679500,0
9,Splinter,54,270577800,0
9,Michelangelo,58,466373400,0
9,Leonardo,57,308712900,0
10,Raphael,63,434755200,0
10,Donatello,64,180642700,0
10,Splinter,62,382529400,0
10,Michelangelo,63,430856000,0
10,Leonardo,65,246656000,0
11,Raphael,70,256776900,0
11,Donatello,70,333781400,0
11,Splinter,68,402746400,0
11,Michelangelo,72,390734200,0
11,Leonardo,72,427878700,0
12,Raphael,75,190744700,0
12,Donatello,76,298726200,0
12,Splinter,73,435776500,0
12,Michelangelo,79,373738500,0
12,Leonardo,80,390183600,0
13,Raphael,82,322724700,0
13,Donatello,83,226378300,0
13,Splinter,79,361055500,0
13,Michelangelo,85,345822400,0
13,Leonardo,87,463658300,0
14,Raphael,88,300712300,0
14,Donatello,90,339738700,0
14,Splinter,85,423713000,0
14,Michelangelo,92,394662500,0
14,Leonardo,93,314911000,0
15,Raphael,94,290685500,0
15,Donatello,97,357662900,0
15,Splinter,90,292754300,0
15,Michelangelo,96,331913800,0
15,Leonardo,97,180779500,0
16,Raphael,99,321910600,0
16,Donatello,101,265609500,0
16,Splinter,95,225745100,0
16,Michelangelo,101,298693900,0
16,Leonardo,102,395640600,0
17,Raphael,106,436810100,0
17,Donatello,107,326626000,0
17,Splinter,102,294632100,0
17,Michelangelo,109,472747400,0
17,Leonardo,108,311634700,0
18,Raphael,112,327718300,0
18,Donatello,113,419714600,0
18,Splinter,108,237548000,0
18,Michelangelo,116,336895000,0
18,Leonardo,115,305620300,0
19,Raphael,119,326759700,0
19,Donatello,119,255765000,0
19,Splinter,115,180727800,0
19,Michelangelo,124,373777100,0
19,Leonardo,121,341748100,0
20,Raphael,126,271018400,0
20,Donatello,127,253662300,0
20,Splinter,121,370774200,0
20,Michelangelo,130,354905700,0
20,Leonardo,126,230618600,0
21,Raphael,132,382778500,0
21,Donatello,132,272819400,0
21,Splinter,127,253771200,0
21,Michelangelo,137,317735700,0
21,Leonardo,132,304718800,0
22,Raphael,138,263579600,0
22,Donatello,138,271950100,0
22,Splinter,133,393703300,0
22,Michelangelo,143,198787400,0
22,Leonardo,139,363809000,0
23,Raphael,143,270770500,0
23,Donatello,144,305701000,0
23,Splinter,137,225779300,0
23,Michelangelo,148,236853900,0
23,Leonardo,145,352799800,0
24,Raphael,151,308614200,0
24,Donatello,150,279684200,0
24,Splinter,143,361780200,0
24,Michelangelo,154,308693500,0
24,Leonardo,152,366042300,0
25,Raphael,157,254597000,0
25,Donatello,156,337917600,0
25,Splinter,149,284664600,0
25,Michelangelo,160,224764700,0
25,Leonardo,157,304710100,0
26,Raphael,162,308788200,0
26,Donatello,161,253747400,0
26,Splinter,154,344775600,0
26,Michelangelo,167,346748600,0
26,Leonardo,162,183765800,0
27,Raphael,168,320748900,0
27,Donatello,168,411803000,0
27,Splinter,161,303642700,0
27,Michelangelo,173,412730400,0
27,Leonardo,169,435796900,0
28,Raphael,175,301589100,0
28,Donatello,174,265767600,0
28,Splinter,166,403819000,0
28,Michelangelo,179,197697500,0
28,Leonardo,174,247858500,0
29,Raphael,180,144828400,0
29,Donatello,178,269773000,0
29,Splinter,171,326783500,0
29,Michelangelo,184,253793800,0
29,Leonardo,179,313784400,0
30,Raphael,188,189709000,0
30,Donatello,186,395585700,0
30,Splinter,178,349442800,0
30,Michelangelo,192,467809700,0
30,Leonardo,187,392625500,0
31,Raphael,196,417713800,0
31,Donatello,194,268971200,0
31,Splinter,185,297634300,0
31,Michelangelo,200,382853100,0
31,Leonardo,195,417621400,0
32,Raphael,202,420733800,0
32,Donatello,201,299832600,0
32,Splinter,191,301829600,0
32,Michelangelo,207,338766100,0
32,Leonardo,201,382683200,0
33,Raphael,208,352833300,0
33,Donatello,207,233777000,0
33,Splinter,199,551646000,0
33,Michelangelo,215,307734900,0
33,Leonardo,208,303806200,0
34,Raphael,215,389760000,0
34,Donatello,215,321775300,0
34,Splinter,204,217745100,0
34,Michelangelo,221,371759200,0
34,Leonardo,214,373719300,0
35,Raphael,221,286690800,0
35,Donatello,220,235772900,0
35,Splinter,210,331755700,0
35,Michelangelo,226,293742700,0
35,Leonardo,220,267822000,0
36,Raphael,224,229890000,0
36,Donatello,224,247801000,0
36,Splinter,214,133860600,0
36,Michelangelo,229,140870800,0
36,Leonardo,223,250747100,0
37,Raphael,231,287701300,0
37,Donatello,230,191767000,0
37,Splinter,219,219794100,0
37,Michelangelo,236,340736500,0
37,Leonardo,229,268881700,0
38,Raphael,238,275601500,0
38,Donatello,237,296752600,0
38,Splinter,226,179880700,0
38,Michelangelo,242,296742800,0
38,Leonardo,235,416787800,0
39,Raphael,244,367736300,0
39,Donatello,244,334782900,0
39,Splinter,233,501830400,0
39,Michelangelo,249,254727200,0
39,Leonardo,242,251791700,0
40,Raphael,251,331795300,0
40,Donatello,251,320746100,0
40,Splinter,242,338808400,0
40,Michelangelo,257,259844300,0
40,Leonardo,250,314625700,0
41,Raphael,259,396735900,0
41,Donatello,258,266750000,0
41,Splinter,248,284772000,0
41,Michelangelo,262,266738400,0
41,Leonardo,257,417799700,0
42,Raphael,265,259677400,0
42,Donatello,266,378743100,0
42,Splinter,255,376824200,0
42,Michelangelo,268,372864600,0
42,Leonardo,264,262796200,0
43,Raphael,271,289886700,0
43,Donatello,272,205739600,0
43,Splinter,260,256917500,0
43,Michelangelo,274,236736300,0
43,Leonardo,269,226766700,0
44,Raphael,278,393603700,0
44,Donatello,279,210671700,0
44,Splinter,268,371809000,0
44,Michelangelo,283,394563100,0
44,Leonardo,277,368739800,0
45,Raphael,285,317568300,0
45,Donatello,288,386785900,0
45,Splinter,276,288849400,0
45,Michelangelo,291,344479000,0
45,Leonardo,287,198967500,0
46,Raphael,291,256775700,0
46,Donatello,294,219889900,0
46,Splinter,281,223756100,0
46,Michelangelo,296,225829600,0
46,Leonardo,291,367865500,0
47,Raphael,295,127809400,0
47,Donatello,298,255858400,0
47,Splinter,286,164792300,0
47,Michelangelo,300,211847900,0
47,Leonardo,296,235806500,0
48,Raphael,301,324734100,0
48,Donatello,303,356935300,0
48,Splinter,291,249756800,0
48,Michelangelo,305,405775200,0
48,Leonardo,301,278835800,0
49,Raphael,308,363788000,0
49,Donatello,310,294703600,0
49,Splinter,298,259745100,0
49,Michelangelo,311,246751900,0
49,Leonardo,307,329726000,0
50,Raphael,315,438858100,0
50,Donatello,316,305745100,0
50,Splinter,305,368684600,0
50,Michelangelo,318,388835800,0
